Problem,Status
Fina a value in a BST,Done
Deletion of a node in a BST,Yet to do
Find min and max value in a BST,Yet to do
Find inorder successor and inorder predecessor in a BST,Yet to do
Check if a tree is a BST or not ,Yet to do
Populate Inorder successor of all nodes,Yet to do
Find LCA  of 2 nodes in a BST,Yet to do
Construct BST from preorder traversal,Yet to do
Convert Binary tree into BST,Yet to do
Convert a normal BST into a Balanced BST,Yet to do
Merge two BST [ V.V.V>IMP ],Yet to do
Find Kth largest element in a BST,Yet to do
Find Kth smallest element in a BST,Yet to do
"Count pairs from 2 BST whose sum is equal to given value ""X""",Yet to do
Find the median of BST in O(n) time and O(1) space,Yet to do
Count BST ndoes that lie in a given range,Yet to do
Replace every element with the least greater element on its right,Yet to do
"Given ""n"" appointments, find the conflicting appointments",Yet to do
Check preorder is valid or not,Yet to do
Check whether BST contains Dead end,Yet to do
Largest BST in a Binary Tree [ V.V.V.V.V IMP ],Yet to do
Flatten BST to sorted list,Yet to do
