Problem,Status,
Find first and last positions of an element in a sorted array,Done,
Find a Fixed Point (Value equal to index) in a given array,Done,
Search in a rotated sorted array,Done,
square root of an integer,Done,
Maximum and minimum of an array using minimum number of comparisons,Done,
Optimum location of point to minimize total distance,Yet to do,
Find the repeating and the missing,Yet to do,
find majority element,Done,Boyer Moore
Searching in an array where adjacent differ by at most k,Done,
find a pair with a given difference,Done,
find four elements that sum to a given value,Yet to do,
maximum sum such that no 2 elements are adjacent,Done,
Count triplet with sum smaller than a given value,Done,
merge 2 sorted arrays,Yet to do,
print all subarrays with 0 sum,Done,
Product array Puzzle,Done,
Sort array according to count of set bits,Yet to do,
minimum no. of swaps required to sort the array,Done,
Bishu and Soldiers,Yet to do,
Rasta and Kheshtak,Yet to do,
Kth smallest number again,Yet to do,
Find pivot element in a sorted array,Yet to do,
K-th Element of Two Sorted Arrays,Yet to do,
Aggressive cows,Yet to do,
Book Allocation Problem,Yet to do,
EKOSPOJ:,Yet to do,
Job Scheduling Algo,Yet to do,
Missing Number in AP,Yet to do,
Smallest number with atleastn trailing zeroes infactorial,Yet to do,
Painters Partition Problem:,Yet to do,
ROTI-Prata SPOJ,Yet to do,
DoubleHelix SPOJ,Yet to do,
Subset Sums,Yet to do,
Findthe inversion count,Yet to do,
Implement Merge-sort in-place,Yet to do,
Partitioning and Sorting Arrays with Many Repeated Entries,Yet to do,
