Problem,Status
 Implement Stack from Scratch,Yet to do
 Implement Queue from Scratch,Yet to do
Implement 2 stack in an array,Yet to do
find the middle element of a stack,Yet to do
"Implement ""N"" stacks in an Array",Yet to do
Check the expression has valid or Balanced parenthesis or not.,Yet to do
Reverse a String using Stack,Yet to do
Design a Stack that supports getMin() in O(1) time and O(1) extra space.,Yet to do
Find the next Greater element,Yet to do
The celebrity Problem,Yet to do
Arithmetic Expression evaluation,Yet to do
Evaluation of Postfix expression,Yet to do
Implement a method to insert an element at its bottom without using any other data structure.,Yet to do
Reverse a stack using recursion,Yet to do
Sort a Stack using recursion,Yet to do
Merge Overlapping Intervals,Yet to do
Largest rectangular Area in Histogram,Yet to do
Length of the Longest Valid Substring,Yet to do
Expression contains redundant bracket or not,Yet to do
Implement Stack using Queue,Yet to do
Implement Stack using Deque,Yet to do
Stack Permutations (Check if an array is stack permutation of other),Yet to do
Implement Queue using Stack  ,Yet to do
"Implement ""n"" queue in an array",Yet to do
Implement a Circular queue,Yet to do
LRU Cache Implementationa,Yet to do
Reverse a Queue using recursion,Yet to do
Reverse the first “K” elements of a queue,Yet to do
Interleave the first half of the queue with second half,Yet to do
Find the first circular tour that visits all Petrol Pumps,Yet to do
Minimum time required to rot all oranges,Yet to do
Distance of nearest cell having 1 in a binary matrix,Yet to do
First negative integer in every window of size “k”,Yet to do
Check if all levels of two trees are anagrams or not.,Yet to do
Sum of minimum and maximum elements of all subarrays of size “k”.,Yet to do
Minimum sum of squares of character counts in a given string after removing “k” characters.,Yet to do
Queue based approach or first non-repeating character in a stream.,Yet to do
Next Smaller Element,Yet to do
