Problem,Status,
Reverse a String,Done,
Check whether a String is Palindrome or not,Done,
Find Duplicate characters in a string,Done,
Why strings are immutable in Java?,Yet to do,
Write a Code to check whether one string is a rotation of another,Couldn't solve,KMP Algorithm samjna padega
Write a Program to check whether a string is a valid shuffle of two strings or not,Yet to do,
Count and Say problem,Done,Bruteforce algo kiya hai actual algo pata nhi
Write a program to find the longest Palindrome in a string.[ Longest palindromic Substring],Yet to do,
Find Longest Recurring Subsequence in String,Yet to do,
Print all Subsequences of a string.,Yet to do,
Print all the permutations of the given string,Yet to do,
Split the Binary string into two substring with equal 0’s and 1’s,Done,
Word Wrap Problem [VERY IMP].,Yet to do,
EDIT Distance [Very Imp],Yet to do,
Find next greater number with same set of digits. [Very Very IMP],Yet to do,
Balanced Parenthesis problem.[Imp],Yet to do,
Word break Problem[ Very Imp],Done,
Rabin Karp Algo,Yet to do,
KMP Algo,Yet to do,
Convert a Sentence into its equivalent mobile numeric keypad sequence.,Yet to do,
Minimum number of bracket reversals needed to make an expression balanced.,Yet to do,
Count All Palindromic Subsequence in a given String.,Yet to do,
Count of number of given string in 2D character array,Yet to do,
Search a Word in a 2D Grid of characters.,Yet to do,
Boyer Moore Algorithm for Pattern Searching.,Yet to do,
Converting Roman Numerals to Decimal,Yet to do,
Longest Common Prefix,Yet to do,
Number of flips to make binary string alternate,Yet to do,
Find the first repeated word in string.,Yet to do,
Minimum number of swaps for bracket balancing.,Yet to do,
Find the longest common subsequence between two strings.,Done,
Program to generate all possible valid IP addresses from given  string.,Yet to do,
Write a program tofind the smallest window that contains all characters of string itself.,Yet to do,
Rearrange characters in a string such that no two adjacent are same,Yet to do,
Minimum characters to be added at front to make string palindrome,Yet to do,
"Given a sequence of words, print all anagrams together",Yet to do,
Find the smallest window in a string containing all characters of another string,Yet to do,
Recursively remove all adjacent duplicates,Yet to do,
String matching where one string contains wildcard characters,Yet to do,
Function to find Number of customers who could not get a computer,Yet to do,
Transform One String to Another using Minimum Number of Given Operation,Yet to do,
Check if two given strings are isomorphic to each other,Yet to do,
Recursively print all sentences that can be formed from list of word lists,Yet to do,
